week,seller_name,title, price ,review_count,ratings,listings,total,sov
10/30/2023,Woodwind & Brasswind,Focusrite Scarlett 4i4 USB Audio Interface (Gen 3) by Woodwind & Brasswind,$259.99 ,613,4.7,5,8,63%
10/30/2023,Amazon.com,Focusrite Scarlett Solo Studio 4th Gen USB Audio Interface,$249.99 ,26,4.8,1,1,100%
10/30/2023,Amazon.com,Focusrite Scarlett Solo Studio USB Audio Interface 3rd Gen,$204.95 ,571,4.8,3,3,100%
10/30/2023,Temu,"HT7 Audio Mixer, Portable USB DJ Sound Mixing Console 7 Channel Bands Mixing Boards DJ Mixer, MP3 Jack 48V Power For Computer Recording, Black,Temu",$56.85 ,,,5,9,56%
10/30/2023,Temu,"HT7 Audio Mixer, Portable USB DJ Sound Mixing Console 7 Channel Bands Mixing Boards DJ Mixer, MP3 Jack 48V Power For Computer Recording, Black,Temu",$56.87 ,,,4,9,44%
10/30/2023,Amazon.com,"M-Audio M-Track Duo Audio Interface – USB for Recording, Streaming and Podcasting with Dual XLR, Line & DI Inputs, plus a Software Suite Included",$69.00 ,2,,1,2,50%
10/30/2023,Amazon.com,"M-Audio M-Track Duo Audio Interface – USB for Recording, Streaming and Podcasting with Dual XLR, Line & DI Inputs, plus a Software Suite Included",$69.00 ,,,1,2,50%
10/30/2023,Sweetwater,Native Instruments Komplete Audio 6 Mk2 USB Audio Interface,$179.00 ,169,4.7,9,12,75%
10/30/2023,Sweetwater,Native Instruments Komplete Audio 6 Mk2 USB Audio Interface,$179.00 ,170,4.7,3,12,25%
10/30/2023,sweetwater.com,Novation Audiohub 2x4,$259.99 ,28,4.6,1,1,100%
10/30/2023,Sweetwater,PreSonus AudioBox 96 Studio Hardware and Software Recording Bundle - 25th Anniversary Edition,$199.99 ,,,1,1,100%
10/30/2023,Guitar Center,PreSonus AudioBox USB 96K 25th Anniversary Edition Audio Interface Black,$99.99 ,496,4.6,1,1,100%
10/30/2023,Amazon.com,Prisciliano Podcast equipment bundle. Audio Interface with condenser microphone & accesories: Sound Card Mixer. Podcast Studio equipment for Live,$19.99 ,,,2,3,67%
10/30/2023,Amazon.com,Prisciliano Podcast equipment bundle. Audio Interface with condenser microphone & accesories: Sound Card Mixer. Podcast Studio equipment for Live,$24.99 ,,,1,3,33%
10/30/2023,Amazon.com,"Pyle Audio Interface Professional USB with MIC/LINE, Guitar, AUX Stereo and RCA Inputs, Phone/Stereo/Monitor Outputs, Ideal for Computer Playing & Recording, Preset 24 Digital Effects - PMUX9",$94.62 ,,,2,3,67%
10/30/2023,Amazon.com,"Pyle Audio Interface Professional USB with MIC/LINE, Guitar, AUX Stereo and RCA Inputs, Phone/Stereo/Monitor Outputs, Ideal for Computer Playing & Recording, Preset 24 Digital Effects - PMUX9",$94.62 ,48,,1,3,33%
10/30/2023,Amazon.com - Seller,Universal Audio Volt 1 USB Audio Interface,$129.00 ,33,4.9,6,12,50%
10/30/2023,Amazon.com - Seller,Universal Audio Volt 1 USB Audio Interface,$119.00 ,33,4.9,6,12,50%
10/30/2023,AmericanMusical.com,Universal Audio Volt 176 USB Audio Interface,$179.00 ,12,4.5,2,2,100%
10/30/2023,B&H Photo-Video-Audio,Zoom AMS-44 USB Audio Interface,$169.99 ,2,4.5,1,1,100%
10/30/2023,Amazon.com,"2x2 USB Audio Interface for Streaming, Recording and Podcasting, 24Bit/192kHz High-Fidelity, STRICH S-WAVE DUO Studio Audio Mixer Interface for",$59.99 ,,,1,1,100%
10/30/2023,Amazon.com - Seller,Arturia MiniFuse 1 USB-C Audio Interface,$99.00 ,24,4.9,3,5,60%
10/30/2023,Sweetwater,Arturia MiniFuse 1 USB-C Audio Interface,$99.00 ,35,4.9,1,5,20%
10/30/2023,Amazon.com - Seller,Arturia MiniFuse 1 USB-C Audio Interface,$99.00 ,35,4.9,1,5,20%
10/30/2023,Amazon.com,"Arturia MiniFuse 2 USB-C Audio Interface, White",$118.33 ,,,2,5,40%
10/30/2023,Amazon.com,"Arturia MiniFuse 2 USB-C Audio Interface, White",$120.63 ,,,1,5,20%
10/30/2023,Amazon.com,"Arturia MiniFuse 2 USB-C Audio Interface, White",$118.54 ,,,2,5,40%
10/30/2023,Amazon.com,"Audio Interface USB with 1x XLR/TRS 1x 1/4"" 2X RCA USB, Red",$39.99 ,2,,1,2,50%
10/30/2023,Amazon.com,"Audio Interface USB with 1x XLR/TRS 1x 1/4"" 2X RCA USB, Red",$39.99 ,,,1,2,50%
10/30/2023,Sweetwater,Behringer U-Phoria UM2 USB Audio Interface,$59.00 ,1000,4.7,3,19,16%
10/30/2023,Sweetwater,Behringer U-Phoria UM2 USB Audio Interface,$59.00 ,1000,4.6,5,19,26%
10/30/2023,Sweetwater,Behringer U-Phoria UM2 USB Audio Interface,$59.00 ,47,4.7,1,19,5%
10/30/2023,Amazon.com,Behringer U-Phoria UM2 USB Audio Interface,$59.00 ,5,5,2,19,11%
10/30/2023,Amazon.com,Behringer U-Phoria UM2 USB Audio Interface,$59.00 ,10,4.9,2,19,11%
10/30/2023,Reverb,Behringer U-Phoria UM2 USB Audio Interface,$45.00 ,5,5,2,19,11%
10/30/2023,Sweetwater,Behringer U-Phoria UM2 USB Audio Interface,$59.00 ,46,4.6,4,19,21%
10/30/2023,Best Buy,Focusrite Scarlett 2i2 4th Gen USB Audio Interface,$199.99 ,161,4.9,10,15,67%
10/30/2023,Sweetwater,Focusrite Scarlett 2i2 4th Gen USB Audio Interface,$199.99 ,161,4.9,4,15,27%
10/30/2023,Sweetwater,Focusrite Scarlett 2i2 4th Gen USB Audio Interface,$199.99 ,195,4.9,1,15,7%
10/30/2023,Guitar Center,Focusrite Scarlett 2i2 USB Audio Interface (Gen 3),$189.99 ,107,4.6,1,3,33%
10/30/2023,Guitar Center,Focusrite Scarlett 2i2 USB Audio Interface (Gen 3),$189.99 ,981,4.7,2,3,67%
10/30/2023,Amazon.com,"Focusrite Scarlett 4i4 3rd Gen USB Audio Interface, for Musicians, Songwriters, Guitarists, Content Creators — High-Fidelity, Studio Quality",$219.99 ,8,,2,2,100%
10/30/2023,Sweetwater,Focusrite Scarlett 4i4 4th Gen USB Audio Interface,$279.99 ,4,5,5,12,42%
10/30/2023,B&H Photo-Video-Audio,Focusrite Scarlett 4i4 4th Gen USB Audio Interface,$279.99 ,4,5,4,12,33%
10/30/2023,Sweetwater,Focusrite Scarlett 4i4 4th Gen USB Audio Interface,$279.99 ,27,4.5,2,12,17%
10/30/2023,B&H Photo-Video-Audio,Focusrite Scarlett 4i4 4th Gen USB Audio Interface,$279.99 ,27,4.5,1,12,8%
10/30/2023,Amazon.com,Focusrite Scarlett Solo 2x2 USB Audio Interface Full Studio Bundle with Creative Music Production Software Kit,$249.99 ,,,5,5,100%
10/30/2023,Reverb,Focusrite Scarlett Solo 3rd Gen USB Audio Interface,$59.99 ,,,7,11,64%
10/30/2023,AmericanMusical.com,Focusrite Scarlett Solo 3rd Gen USB Audio Interface,$129.99 ,1000,4.8,3,11,27%
10/30/2023,Reverb,Focusrite Scarlett Solo 3rd Gen USB Audio Interface,$59.99 ,2,,1,11,9%
10/30/2023,Amazon.com,"M-Audio AIR 192x4 USB C Audio Interface for Recording, Podcasting, Streaming with Studio Quality Sound, 1 XLR in and Music Production Software",$119.00 ,,,6,8,75%
10/30/2023,Amazon.com,"M-Audio AIR 192x4 USB C Audio Interface for Recording, Podcasting, Streaming with Studio Quality Sound, 1 XLR in and Music Production Software",$119.00 ,2,,2,8,25%
10/30/2023,Amazon.com,"M-Audio M-Track Duo – USB Audio Interface for Recording, Streaming and Podcasting with Dual XLR, Line & DI Inputs, plus a Software Suite Included",$69.00 ,,,17,19,90%
10/30/2023,Amazon.com,"M-Audio M-Track Duo – USB Audio Interface for Recording, Streaming and Podcasting with Dual XLR, Line & DI Inputs, plus a Software Suite Included",$69.00 ,2,,2,19,11%
10/30/2023,Amazon.com,"M-Audio M-Track Solo – USB Audio Interface for Recording, Streaming and Podcasting with XLR, Line and DI Inputs, Plus a Software Suite Included",$49.00 ,,,18,18,100%
10/30/2023,Amazon.com,Native Instruments Komplete Audio 1 Two-Channel Audio Interface,$89.00 ,,,6,8,75%
10/30/2023,Amazon.com,Native Instruments Komplete Audio 1 Two-Channel Audio Interface,$89.00 ,4,,2,8,25%
10/30/2023,Amazon.com,"PreSonus AudioBox GO | USB-C Audio Interface for music production with Studio One DAW Recording Software, Music Tutorials, Sound Samples and Virtual",$79.99 ,,,5,5,100%
10/30/2023,rocknrollrentals.com,PreSonus AudioBox USB 96,$50.00 ,496,4.6,2,3,67%
10/30/2023,Amazon.com,PreSonus AudioBox USB 96,$99.99 ,496,4.6,1,3,33%
10/30/2023,Amazon.com,PreSonus Studio 24c USB-C Audio Interface,$149.99 ,254,4.7,1,14,7%
10/30/2023,Best Buy,PreSonus Studio 24c USB-C Audio Interface,$149.99 ,254,4.7,2,14,14%
10/30/2023,Sweetwater,PreSonus Studio 24c USB-C Audio Interface,$149.99 ,254,4.7,4,14,29%
10/30/2023,Sweetwater,PreSonus Studio 24c USB-C Audio Interface,$149.99 ,255,4.7,2,14,14%
10/30/2023,B&H Photo-Video-Audio,PreSonus Studio 24c USB-C Audio Interface,$149.99 ,254,4.7,4,14,29%
10/30/2023,B&H Photo-Video-Audio,PreSonus Studio 24c USB-C Audio Interface,$149.99 ,255,4.7,1,14,7%
10/30/2023,Amazon.com,"Professional Audio Mixer, ALPOWL Sound Board Console System, Interface 4 Channel Digital USB Bluetooth MP3 Computer Input 48V Phantom Power Stereo",$39.99 ,,,2,2,100%
10/30/2023,Sweetwater,Solid State Logic SSL2 2x2 USB Audio Interface,$179.99 ,229,4.8,6,17,35%
10/30/2023,Sweetwater,Solid State Logic SSL2 2x2 USB Audio Interface,$179.99 ,227,4.8,11,17,65%
10/30/2023,B&H Photo-Video-Audio,Solid State Logic SSL2+,$249.99 ,338,4.8,9,14,64%
10/30/2023,Walmart - Kellards,Solid State Logic SSL2+,$249.99 ,338,4.8,2,14,14%
10/30/2023,bhphoto.com,Solid State Logic SSL2+,$249.99 ,338,4.8,1,14,7%
10/30/2023,Sweetwater,Solid State Logic SSL2+,$249.99 ,338,4.8,2,14,14%
10/30/2023,Guitar Center,Sterling Audio Harmony H224 USB Interface,$79.99 ,51,4.5,5,5,100%
10/30/2023,Amazon.com,"USB Audio Interface with 1x XLR/TRS 1x 1/4\"" 2X RCA USB, Red",$39.99 ,,,6,6,100%
10/30/2023,Amazon.com - Seller,USED Y.D.F USB Audio Interface with Mic Preamplifier USB Audio Mixer Recorder,$89.99 ,4,4.5,8,8,100%
10/30/2023,Sweetwater,Universal Audio Volt 1 USB-C Audio Interface,$129.00 ,33,4.9,3,3,100%
10/30/2023,Sweetwater,Universal Audio Volt 176 USB-C Audio Interface,$179.00 ,12,4.5,2,2,100%
10/30/2023,Amazon.com,"Yamaha Steinberg UR12 USB Audio Interface, small",$114.99 ,2,,2,7,29%
10/30/2023,Amazon.com,4 Channel Audio Interface Dj Mixer XLR & 1/4‘’ Audio Jack Input For Guitar/Wireless/Wired Mic Usb Bluetooth Audio Mixer With Stereo Eq-7 Bands And,$47.99 ,,,11,11,100%
10/30/2023,Amazon.com,4 Channel Audio Interface USB Audio Mixer Sound Board Mixing Console Built In Bluetooth MP3 Computer Input +48V Phantom Power Mixer Audio For,$49.99 ,,,2,2,100%
10/30/2023,Amazon.com,"Audient Audio Interface iD4 MKII, Class A Console Microphone Preamp (High Speed USB-C, Monitor Mix and Monitor Panning Function, 2 Headphone Outputs",$199.00 ,,,1,1,100%
10/30/2023,Amazon.com,Audio Interface Mixer G-MARK MR80S USB Bluetooth Mixing Console 8 Channel 48V Phantom Power Sound Board Music Reverb For PC Stage Studio DJ Sound,$119.49 ,,,1,1,100%
10/30/2023,Amazon.com - Seller,BEHRINGER ADA8200,$229.00 ,170,4.7,2,2,100%
